county,prop_green,prop_crosswalk,prop_not_single_family_house,prop_single_lane,prop_triple_lane,prop_visible_wires,prop_sidewalk,prop_dilapidated_building
21185,0.963692858,0.002426151,0.091512727,0.707967992,0,0.387545756,0.143015238,0.165872138
21187,0.930489914,0.001037464,0.145360231,0.759942363,0,0.308530259,0.037636888,0.171181556
21189,0.95159516,0.000550055,0.316831683,0.654565457,0,0.214521452,0.009350935,0.113861386
21191,0.94072236,0.002826027,0.125999449,0.69292804,0,0.348497381,0.062241522,0.195754067
21193,0.975555862,0.000690512,0.118146665,0.755489573,0,0.192238641,0.077061179,0.067532109
21195,0.97417979,0.002296588,0.176049869,0.58566273,0,0.223228346,0.090879265,0.109120735
21197,0.954345307,0.003476246,0.237891078,0.689571263,0,0.313557358,0.056894554,0.146234067
21199,0.904657933,0.002426007,0.169928298,0.671033479,0,0.400452855,0.07027333,0.152488005
21201,0.972784368,0.000697837,0.0931612,0.657013259,0,0.332868109,0.035589672,0.075366364
21203,0.950038334,0.000383338,0.173396371,0.788972655,0,0.305264503,0.039164324,0.120431894
21205,0.943218954,0.003948802,0.189882898,0.686478758,0,0.28710512,0.077614379,0.147399237
21207,0.945177823,0.001941295,0.113759901,0.627581923,0,0.431433452,0.046435782,0.106227675
21209,0.926612118,0.005226544,0.141513174,0.777925963,0,0.339797426,0.195184371,0.200050463
21211,0.945247728,0.002752537,0.113019832,0.727366187,0,0.442893149,0.092093918,0.13368044
21213,0.913546319,0.004351311,0.134890645,0.7741326,0,0.393908164,0.078438108,0.123382572
